Method,Dataset,CI, MSE
MLSDTA(w/o A),Davis,0.901,0.202
MLSDTA(w/o D),Davis,0.902,0.203
MLSDTA(w/o P),Davis,0.902,0.207
MLSDTA,Davis,0.91,0.196
MLSDTA(w/o A),KIBA,0.9,0.135
MLSDTA(w/o D),KIBA,0.897,0.135
MLSDTA(w/o P),KIBA,0.902,0.133
MLSDTA,KIBA,0.903,0.126
